기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.3/4	중랑구	면목5동	4,614	10,160	5,197	4,963	10,030	5,141	4,889	130	56	74	2.17	1,572
2018.3/4	중랑구	면목7동	10,091	22,349	11,075	11,274	22,050	10,956	11,094	299	119	180	2.19	3,704
2018.3/4	중랑구	상봉1동	10,165	25,775	12,611	13,164	25,626	12,552	13,074	149	59	90	2.52	3,274
2018.3/4	중랑구	상봉2동	10,085	19,146	9,442	9,704	18,840	9,314	9,526	306	128	178	1.87	2,623
2018.3/4	중랑구	중화1동	8,842	20,995	10,363	10,632	20,839	10,303	10,536	156	60	96	2.36	3,003
2018.3/4	중랑구	중화2동	14,293	28,630	14,732	13,898	28,016	14,476	13,540	614	256	358	1.96	4,688
2018.3/4	중랑구	묵1동	14,476	36,289	17,746	18,543	36,127	17,686	18,441	162	60	102	2.5	5,076
2018.3/4	중랑구	묵2동	9,140	20,325	10,004	10,321	20,110	9,930	10,180	215	74	141	2.2	2,997
2018.3/4	중랑구	망우3동	8,449	18,391	9,202	9,189	18,109	9,092	9,017	282	110	172	2.14	2,945
2018.3/4	중랑구	신내1동	14,493	41,110	20,130	20,980	40,970	20,063	20,907	140	67	73	2.83	5,755
2018.3/4	중랑구	신내2동	9,016	22,577	10,841	11,736	22,506	10,819	11,687	71	22	49	2.5	3,414
2018.3/4	중랑구	면목본동	17,473	36,622	18,225	18,397	35,853	17,894	17,959	769	331	438	2.05	5,356
2018.3/4	중랑구	면목3.8동	12,592	27,317	13,677	13,640	26,859	13,483	13,376	458	194	264	2.13	4,437
2018.3/4	중랑구	망우본동	14,664	31,899	16,111	15,788	31,553	15,979	15,574	346	132	214	2.15	5,137
2018.3/4	성북구	소계	186,744	449,574	217,656	231,918	438,031	213,159	224,872	11,543	4,497	7,046	2.35	67,447
2018.3/4	성북구	돈암1동	6,379	16,495	7,736	8,759	16,380	7,690	8,690	115	46	69	2.57	2,594
2018.3/4	성북구	돈암2동	8,530	25,150	12,038	13,112	25,054	11,993	13,061	96	45	51	2.94	3,114
2018.3/4	성북구	안암동	8,814	17,345	8,496	8,849	15,339	7,819	7,520	2,006	677	1,329	1.74	2,033
2018.3/4	성북구	보문동	7,992	17,279	8,378	8,901	16,931	8,234	8,697	348	144	204	2.12	2,329
2018.3/4	성북구	정릉1동	7,045	18,684	8,899	9,785	18,141	8,752	9,389	543	147	396	2.58	2,797
2018.3/4	성북구	정릉2동	9,624	24,284	11,866	12,418	24,058	11,785	12,273	226	81	145	2.5	4,000
2018.3/4	성북구	정릉3동	7,596	17,341	8,685	8,656	15,952	8,008	7,944	1,389	677	712	2.1	3,079
2018.3/4	성북구	정릉4동	11,042	27,255	13,214	14,041	26,936	13,119	13,817	319	95	224	2.44	4,395
